iter	Passed	Remaining
0	1	129
1	2	121
2	3	112
3	4	106
4	5	104
5	6	101
6	7	100
7	8	98
8	9	97
9	10	96
10	11	95
11	12	94
12	14	94
13	15	92
14	16	92
15	17	91
16	18	89
17	19	90
18	20	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	29	83
26	30	82
27	31	80
28	32	79
29	33	78
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	70
38	44	69
39	45	67
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	54
51	58	53
52	59	52
53	60	51
54	61	49
55	62	48
56	63	47
57	64	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	80	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	100	12
89	101	11
90	102	10
91	104	9
92	105	7
93	106	6
94	107	5
95	109	4
96	110	3
97	111	2
98	112	1
99	114	0
