iter	Passed	Remaining
0	153	153808
1	160	79891
2	168	55950
3	173	43106
4	177	35367
5	182	30311
6	186	26526
7	191	23780
8	197	21746
9	202	20020
10	207	18616
11	211	17423
12	216	16424
13	221	15580
14	226	14858
15	231	14207
16	236	13664
17	240	13122
18	245	12665
19	251	12338
20	256	11949
21	264	11750
22	269	11444
23	275	11208
24	281	10960
25	285	10696
26	290	10480
27	296	10287
28	300	10065
29	307	9942
30	313	9786
31	318	9623
32	323	9473
33	327	9315
34	333	9181
35	337	9041
36	341	8896
37	346	8771
38	351	8657
39	356	8564
40	362	8477
41	371	8465
42	379	8437
43	386	8390
44	393	8347
45	398	8267
46	405	8224
47	411	8162
48	416	8082
49	421	8017
50	426	7941
51	436	7959
52	442	7900
53	449	7866
54	455	7824
55	461	7779
56	467	7736
57	472	7677
58	482	7691
59	486	7625
60	492	7576
61	500	7579
62	508	7557
63	513	7513
64	519	7467
65	525	7442
66	531	7396
67	537	7371
68	543	7332
69	553	7358
70	561	7342
71	567	7308
72	572	7266
73	578	7238
74	586	7227
75	591	7187
76	596	7150
77	601	7114
78	607	7077
79	611	7036
80	616	6999
81	622	6967
82	625	6905
83	630	6877
84	635	6845
85	641	6822
86	646	6788
87	655	6788
88	661	6766
89	666	6737
90	671	6707
91	677	6686
92	684	6677
93	690	6659
94	696	6636
95	703	6621
96	708	6591
97	713	6571
98	720	6559
99	728	6556
100	735	6543
101	742	6534
102	756	6590
103	764	6584
104	770	6565
105	776	6549
106	783	6537
107	788	6514
108	793	6490
109	804	6508
110	812	6510
111	819	6495
112	824	6475
113	831	6458
114	836	6437
115	856	6526
116	862	6510
117	869	6502
118	875	6482
119	882	6469
120	889	6464
121	895	6442
122	902	6435
123	908	6418
124	914	6400
125	921	6393
126	926	6371
127	932	6350
128	937	6332
129	942	6309
130	947	6285
131	953	6267
132	958	6249
133	965	6241
134	971	6225
135	976	6203
136	982	6191
137	988	6172
138	993	6156
139	1000	6146
140	1007	6139
141	1012	6115
142	1018	6102
143	1023	6085
144	1029	6070
145	1034	6051
146	1042	6049
147	1047	6027
148	1051	6005
149	1057	5992
150	1062	5973
151	1067	5956
152	1072	5936
153	1077	5916
154	1083	5905
155	1088	5891
156	1093	5870
157	1098	5852
158	1102	5832
159	1107	5812
160	1110	5786
161	1115	5767
162	1119	5746
163	1123	5727
164	1128	5712
165	1134	5701
166	1140	5688
167	1145	5675
168	1151	5663
169	1163	5681
170	1168	5664
171	1176	5661
172	1180	5643
173	1186	5630
174	1190	5613
175	1197	5605
176	1203	5595
177	1209	5585
178	1214	5570
179	1225	5585
180	1231	5572
181	1236	5556
182	1241	5541
183	1247	5531
184	1253	5521
185	1258	5506
186	1264	5498
187	1270	5487
188	1280	5496
189	1289	5498
190	1298	5499
191	1304	5491
192	1313	5490
193	1321	5489
194	1331	5496
195	1337	5486
196	1343	5474
197	1349	5466
198	1357	5462
199	1363	5452
200	1369	5442
201	1374	5429
202	1380	5418
203	1386	5410
204	1391	5395
205	1396	5381
206	1400	5366
207	1405	5351
208	1410	5338
209	1415	5323
210	1420	5313
211	1425	5299
212	1431	5288
213	1437	5278
214	1443	5269
215	1448	5255
216	1452	5240
217	1456	5225
218	1461	5210
219	1465	5197
220	1472	5189
221	1477	5176
222	1482	5164
223	1488	5155
224	1495	5150
225	1500	5139
226	1505	5127
227	1510	5114
228	1515	5103
229	1521	5093
230	1525	5079
231	1531	5070
232	1536	5056
233	1540	5044
234	1547	5037
235	1552	5025
236	1557	5013
237	1562	5003
238	1567	4990
239	1572	4981
240	1579	4975
241	1584	4963
242	1589	4952
243	1594	4940
244	1599	4929
245	1604	4917
246	1609	4906
247	1614	4894
248	1618	4882
249	1623	4870
250	1628	4859
251	1633	4847
252	1637	4835
253	1643	4826
254	1647	4813
255	1652	4801
256	1657	4792
257	1665	4790
258	1672	4785
259	1678	4778
260	1685	4771
261	1692	4766
262	1697	4757
263	1702	4747
264	1707	4736
265	1713	4727
266	1719	4720
267	1725	4712
268	1732	4706
269	1736	4695
270	1742	4687
271	1747	4676
272	1753	4669
273	1758	4660
274	1764	4651
275	1769	4642
276	1774	4630
277	1780	4623
278	1784	4612
279	1790	4602
280	1794	4592
281	1801	4587
282	1806	4576
283	1811	4566
284	1815	4555
285	1823	4553
286	1831	4550
287	1837	4543
288	1842	4532
289	1846	4521
290	1851	4511
291	1856	4502
292	1862	4494
293	1868	4487
294	1874	4478
295	1879	4470
296	1884	4460
297	1889	4449
298	1893	4440
299	1898	4429
300	1903	4420
301	1909	4413
302	1913	4402
303	1918	4392
304	1923	4383
305	1928	4373
306	1932	4363
307	1937	4352
308	1941	4342
309	1946	4332
310	1951	4322
311	1955	4312
312	1960	4302
313	1964	4292
314	1968	4281
315	1973	4270
316	1978	4262
317	1982	4251
318	1986	4241
319	1991	4231
320	1995	4220
321	1999	4210
322	2004	4201
323	2009	4192
324	2013	4181
325	2017	4171
326	2022	4161
327	2026	4152
328	2031	4144
329	2036	4134
330	2042	4127
331	2046	4118
332	2051	4108
333	2055	4098
334	2060	4089
335	2064	4079
336	2068	4070
337	2073	4061
338	2078	4052
339	2082	4042
340	2087	4033
341	2091	4023
342	2095	4014
343	2101	4006
344	2105	3998
345	2110	3989
346	2116	3982
347	2120	3973
348	2125	3965
349	2131	3958
350	2135	3949
351	2140	3940
352	2144	3931
353	2148	3921
354	2152	3911
355	2157	3902
356	2161	3892
357	2166	3884
358	2171	3878
359	2176	3870
360	2182	3862
361	2233	3935
362	2238	3928
363	2244	3922
364	2252	3918
365	2257	3911
366	2298	3964
367	2306	3960
368	2327	3980
369	2333	3972
370	2351	3986
371	2385	4027
372	2393	4023
373	2432	4072
374	2445	4076
375	2458	4079
376	2483	4104
377	2491	4099
378	2496	4090
379	2523	4117
380	2583	4197
381	2597	4202
382	2607	4199
383	2612	4191
384	2625	4193
